Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2001","2001","°C","2.118","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2002","2002","°C","2.052","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2003","2003","°C","1.623","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2004","2004","°C","0.664","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2005","2005","°C","0.965","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2006","2006","°C","2.697","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2007","2007","°C","0.373","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2008","2008","°C","0.545","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2009","2009","°C","2.38","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2010","2010","°C","2.734","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2011","2011","°C","1.867","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2012","2012","°C","1.624","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2013","2013","°C","3.347","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2014","2014","°C","3.241","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2015","2015","°C","0.824","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2016","2016","°C","0.916","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2017","2017","°C","2.154","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2018","2018","°C","0.813","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2019","2019","°C","1.437","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7001","January","2020","2020","°C","1.436","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2001","2001","°C","0.284","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2002","2002","°C","-2.43","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2003","2003","°C","2.161","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2004","2004","°C","0.986","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2005","2005","°C","1.278","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2006","2006","°C","2.468","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2007","2007","°C","0.341","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2008","2008","°C","0.095","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2009","2009","°C","-0.079","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2010","2010","°C","-0.211","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2011","2011","°C","2.024","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2012","2012","°C","2.762","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2013","2013","°C","3.399","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2014","2014","°C","1.545","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2015","2015","°C","0.381","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2016","2016","°C","-0.516","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2017","2017","°C","3.273","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2018","2018","°C","1.331","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2019","2019","°C","0.934","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7002","February","2020","2020","°C","0.493","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2001","2001","°C","-1.209","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2002","2002","°C","-0.66","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2003","2003","°C","2.947","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2004","2004","°C","3.217","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2005","2005","°C","2.302","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2006","2006","°C","0.129","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2007","2007","°C","1.866","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2008","2008","°C","-0.29","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2009","2009","°C","-0.254","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2010","2010","°C","1.873","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2011","2011","°C","-0.228","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2012","2012","°C","2.617","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2013","2013","°C","0.086","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2014","2014","°C","1.816","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2015","2015","°C","0.923","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2016","2016","°C","2.037","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2017","2017","°C","1.49","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2018","2018","°C","1.447","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2019","2019","°C","0.872","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7003","March","2020","2020","°C","0.059","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2001","2001","°C","0.302","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2002","2002","°C","1.473","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2003","2003","°C","2.986","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2004","2004","°C","2.277","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2005","2005","°C","1.042","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2006","2006","°C","-0.037","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2007","2007","°C","2.368","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2008","2008","°C","0.27","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2009","2009","°C","1.544","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2010","2010","°C","-0.208","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2011","2011","°C","2.334","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2012","2012","°C","0.474","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2013","2013","°C","-1.276","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2014","2014","°C","1.884","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2015","2015","°C","0.202","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2016","2016","°C","1.416","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2017","2017","°C","0.602","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2018","2018","°C","1.578","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2019","2019","°C","3.379","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7004","April","2020","2020","°C","1.17","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2001","2001","°C","1.002","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2002","2002","°C","0.563","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2003","2003","°C","0.115","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2004","2004","°C","1.025","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2005","2005","°C","-0.492","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2006","2006","°C","-0.064","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2007","2007","°C","-0.304","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2008","2008","°C","2.041","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2009","2009","°C","1.603","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2010","2010","°C","1.228","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2011","2011","°C","0.32","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2012","2012","°C","0.219","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2013","2013","°C","-0.067","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2014","2014","°C","1.594","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2015","2015","°C","-1.29","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2016","2016","°C","0.965","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2017","2017","°C","2.422","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2018","2018","°C","0.91","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2019","2019","°C","0.863","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7005","May","2020","2020","°C","0.862","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2001","2001","°C","-0.285","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2002","2002","°C","1.033","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2003","2003","°C","1.601","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2004","2004","°C","1.131","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2005","2005","°C","0.983","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2006","2006","°C","1.298","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2007","2007","°C","1.865","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2008","2008","°C","1.018","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2009","2009","°C","0.845","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2010","2010","°C","1.913","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2011","2011","°C","-0.56","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2012","2012","°C","0.544","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2013","2013","°C","1.589","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2014","2014","°C","2.321","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2015","2015","°C","0.104","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2016","2016","°C","2.262","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2017","2017","°C","0.941","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2018","2018","°C","0.991","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2019","2019","°C","1.165","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7006","June","2020","2020","°C","1.455","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2001","2001","°C","0.278","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2002","2002","°C","0.385","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2003","2003","°C","1.348","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2004","2004","°C","1.206","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2005","2005","°C","1.25","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2006","2006","°C","0.937","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2007","2007","°C","1.193","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2008","2008","°C","1.694","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2009","2009","°C","1.239","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2010","2010","°C","1.492","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2011","2011","°C","1.087","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2012","2012","°C","1.616","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2013","2013","°C","0.755","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2014","2014","°C","1.464","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2015","2015","°C","-0.275","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2016","2016","°C","1.602","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2017","2017","°C","1.475","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2018","2018","°C","0.903","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2019","2019","°C","2.095","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7007","July","2020","2020","°C","0.212","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2001","2001","°C","0.596","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2002","2002","°C","0.404","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2003","2003","°C","2.515","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2004","2004","°C","2.115","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2005","2005","°C","0.394","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2006","2006","°C","1.415","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2007","2007","°C","0.833","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2008","2008","°C","1.138","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2009","2009","°C","0.875","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2010","2010","°C","1.39","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2011","2011","°C","0.515","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2012","2012","°C","1.546","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2013","2013","°C","0.57","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2014","2014","°C","1.207","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2015","2015","°C","0.646","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2016","2016","°C","1.58","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2017","2017","°C","1.127","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2018","2018","°C","0.558","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2019","2019","°C","0.617","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7008","August","2020","2020","°C","1.076","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2001","2001","°C","1.378","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2002","2002","°C","1.623","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2003","2003","°C","1.237","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2004","2004","°C","1.697","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2005","2005","°C","-1.013","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2006","2006","°C","2.054","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2007","2007","°C","0.161","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2008","2008","°C","1.96","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2009","2009","°C","0.786","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2010","2010","°C","2.162","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2011","2011","°C","1.194","E","Estimated value"
"ET","Temperature change","352","Iceland","7271","Temperature change","7009","September","2012","2012","°C","-0.268","E","Estimated value"
